function,h,exact,forward,backward,central,error_forward,error_backward,error_central
f(x) = e^x,0.1,2.71828,2.85884,2.58679,2.72281,0.14056,0.131495,0.00453274
f(x) = e^x,0.01,2.71828,2.73192,2.70474,2.71833,0.0136368,0.0135462,4.53049e-05
f(x) = e^x,0.001,2.71828,2.71964,2.71692,2.71828,0.00135959,0.00135869,4.53047e-07
f(x) = e^x,0.0001,2.71828,2.71842,2.71815,2.71828,0.000135919,0.00013591,4.53057e-09
f(x) = e^x,1e-05,2.71828,2.7183,2.71827,2.71828,1.35915e-05,1.35914e-05,5.85869e-11
f(x) = e^x,1e-06,2.71828,2.71828,2.71828,2.71828,1.35897e-06,1.3593e-06,1.63457e-10
f(x) = sin(x),0.1,0.540302,0.497364,0.581441,0.539402,0.0429386,0.0411384,0.000900054
f(x) = sin(x),0.01,0.540302,0.536086,0.544501,0.540293,0.00421632,0.00419831,9.00499e-06
f(x) = sin(x),0.001,0.540302,0.539881,0.540723,0.540302,0.000420826,0.000420645,9.00505e-08
f(x) = sin(x),0.0001,0.540302,0.54026,0.540344,0.540302,4.20744e-05,4.20726e-05,9.0043e-10
f(x) = sin(x),1e-05,0.540302,0.540298,0.540307,0.540302,4.20736e-06,4.20734e-06,1.11409e-11
f(x) = sin(x),1e-06,0.540302,0.540302,0.540303,0.540302,4.20747e-07,4.20802e-07,2.77169e-11
f(x) = x^3 - 2x + 1,0.1,1,1.31,0.71,1.01,0.31,0.29,0.01
f(x) = x^3 - 2x + 1,0.01,1,1.0301,0.9701,1.0001,0.0301,0.0299,0.0001
f(x) = x^3 - 2x + 1,0.001,1,1.003,0.997001,1,0.003001,0.002999,1e-06
f(x) = x^3 - 2x + 1,0.0001,1,1.0003,0.9997,1,0.00030001,0.00029999,9.99967e-09
f(x) = x^3 - 2x + 1,1e-05,1,1.00003,0.99997,1,3.00001e-05,2.99999e-05,9.5369e-11
f(x) = x^3 - 2x + 1,1e-06,1,1,0.999997,1,2.99996e-06,2.9999e-06,2.87557e-11
